t	iOTOC	Densities
0	1.100000	-1:0.6000 0:0.5000
1	1.200000	-1:0.3000 0:0.2000 1:0.2000 2:0.5000
2	1.300000	-2:0.1000 -1:0.5000 0:0.3000 1:0.1000 2:0.3000
3	1.500000	-1:0.4000 0:0.4000 1:0.2000 2:0.2000 4:0.3000
4	1.400000	-5:0.1000 -4:0.1000 -3:0.1000 -2:0.1000 -1:0.4000 0:0.3000 1:0.1000 2:0.1000 4:0.1000
5	1.200000	-3:0.2000 -2:0.1000 -1:0.1000 0:0.2000 1:0.1000 2:0.3000 4:0.1000 5:0.1000
6	1.200000	-4:0.1000 -3:0.1000 -2:0.1000 -1:0.2000 0:0.2000 2:0.4000 4:0.1000
7	1.400000	-5:0.1000 -4:0.1000 -3:0.1000 -2:0.1000 -1:0.5000 0:0.2000 2:0.3000
8	1.600000	-5:0.1000 -4:0.1000 -3:0.1000 -2:0.1000 -1:0.4000 0:0.3000 1:0.1000 2:0.2000 4:0.1000 5:0.1000
9	1.400000	-5:0.1000 -4:0.1000 -3:0.1000 -1:0.2000 0:0.1000 1:0.2000 2:0.1000 4:0.3000 5:0.1000 7:0.1000
10	1.400000	-5:0.2000 -4:0.1000 -3:0.1000 -2:0.1000 -1:0.5000 0:0.2000 2:0.1000 4:0.1000
11	1.500000	-5:0.1000 -3:0.1000 -2:0.1000 -1:0.3000 0:0.2000 1:0.2000 2:0.2000 3:0.2000 9:0.1000
12	1.600000	-5:0.2000 -4:0.1000 -3:0.1000 -2:0.2000 -1:0.3000 0:0.1000 1:0.1000 2:0.3000 3:0.1000 7:0.1000
13	1.600000	-8:0.1000 -4:0.1000 -2:0.1000 -1:0.4000 0:0.2000 1:0.1000 2:0.3000 3:0.1000 4:0.1000 7:0.1000
14	2.000000	-8:0.1000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.2000 -2:0.1000 -1:0.5000 0:0.1000 1:0.1000 2:0.2000 3:0.1000 4:0.1000 7:0.1000
15	2.100000	-8:0.1000 -6:0.1000 -5:0.1000 -4:0.2000 -3:0.1000 -2:0.1000 -1:0.5000 0:0.1000 1:0.1000 2:0.2000 3:0.2000 4:0.2000 7:0.1000
16	2.100000	-10:0.1000 -9:0.1000 -7:0.1000 -6:0.1000 -5:0.1000 -4:0.2000 -3:0.2000 -2:0.1000 -1:0.3000 0:0.3000 1:0.1000 2:0.1000 3:0.1000 4:0.1000 7:0.1000
17	2.500000	-7:0.1000 -6:0.1000 -5:0.1000 -4:0.1000 -3:0.1000 -2:0.1000 -1:0.3000 0:0.3000 1:0.1000 2:0.3000 3:0.2000 4:0.1000 5:0.3000 6:0.1000 7:0.2000
18	1.900000	-8:0.1000 -7:0.2000 -5:0.1000 -3:0.2000 -1:0.3000 0:0.1000 2:0.3000 3:0.1000 4:0.2000 5:0.2000 7:0.1000
19	1.600000	-5:0.1000 -4:0.1000 -1:0.2000 0:0.2000 2:0.2000 4:0.3000 5:0.1000 6:0.1000 7:0.3000
20	2.100000	-7:0.2000 -4:0.2000 -2:0.1000 -1:0.2000 0:0.2000 2:0.3000 3:0.1000 4:0.2000 5:0.2000 6:0.1000 7:0.3000
21	2.100000	-7:0.3000 -5:0.1000 -3:0.1000 -2:0.2000 -1:0.1000 0:0.2000 2:0.2000 3:0.1000 4:0.2000 5:0.2000 6:0.2000 7:0.2000
22	2.000000	-9:0.1000 -7:0.3000 -6:0.2000 -3:0.1000 -1:0.1000 0:0.1000 2:0.2000 3:0.1000 4:0.2000 5:0.2000 6:0.1000 7:0.2000 9:0.1000
23	2.400000	-7:0.1000 -6:0.1000 -5:0.1000 -3:0.2000 -1:0.1000 2:0.3000 3:0.2000 4:0.1000 5:0.3000 6:0.3000 7:0.2000 8:0.2000 9:0.1000 12:0.1000
24	3.000000	-7:0.1000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.2000 -2:0.1000 -1:0.1000 0:0.1000 2:0.3000 3:0.3000 4:0.2000 5:0.4000 6:0.3000 7:0.2000 8:0.2000 9:0.1000
25	2.900000	-9:0.1000 -7:0.1000 -6:0.1000 -5:0.1000 -3:0.2000 0:0.2000 2:0.2000 3:0.2000 4:0.3000 5:0.4000 6:0.3000 7:0.3000 8:0.2000 9:0.2000
