t	iOTOC	Densities
26	2.900000	-15:0.1000 -13:0.1000 -9:0.2000 -6:0.2000 -5:0.1000 -4:0.1000 -3:0.2000 -2:0.1000 0:0.3000 1:0.1000 2:0.2000 3:0.3000 4:0.3000 5:0.3000 6:0.2000 8:0.1000
27	2.700000	-10:0.1000 -7:0.1000 -5:0.1000 -3:0.1000 -2:0.2000 -1:0.3000 0:0.4000 2:0.3000 3:0.2000 4:0.2000 5:0.4000 6:0.1000 9:0.1000 10:0.1000
28	2.100000	-10:0.1000 -9:0.1000 -7:0.1000 -6:0.1000 -4:0.1000 0:0.3000 2:0.1000 3:0.1000 4:0.3000 5:0.2000 6:0.1000 7:0.3000 8:0.1000 9:0.1000
29	2.500000	-10:0.1000 -9:0.1000 -4:0.2000 -1:0.1000 0:0.3000 1:0.1000 2:0.1000 3:0.3000 4:0.3000 5:0.3000 6:0.2000 7:0.2000 8:0.1000 9:0.1000
30	2.400000	-9:0.1000 -7:0.1000 -5:0.1000 -4:0.1000 -3:0.1000 -2:0.3000 -1:0.3000 0:0.1000 2:0.1000 3:0.2000 4:0.1000 5:0.2000 6:0.3000 7:0.1000 8:0.1000 12:0.1000
31	2.400000	-5:0.1000 -3:0.1000 -2:0.1000 -1:0.2000 0:0.3000 2:0.2000 3:0.1000 4:0.4000 5:0.3000 6:0.3000 7:0.2000 8:0.1000
32	2.900000	-9:0.1000 -7:0.1000 -5:0.1000 -3:0.1000 -2:0.1000 -1:0.2000 0:0.3000 1:0.1000 2:0.2000 3:0.1000 4:0.4000 5:0.3000 6:0.3000 7:0.3000 8:0.1000 9:0.1000
33	2.800000	-9:0.1000 -7:0.2000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.3000 -1:0.1000 2:0.2000 3:0.2000 5:0.2000 6:0.3000 7:0.2000 12:0.2000 13:0.1000 14:0.1000
34	3.200000	-18:0.1000 -15:0.1000 -10:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.3000 -2:0.5000 -1:0.2000 0:0.1000 2:0.3000 3:0.1000 5:0.1000 6:0.2000 7:0.2000 12:0.2000 13:0.1000 14:0.1000
35	3.300000	-15:0.1000 -10:0.1000 -9:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.2000 -2:0.3000 -1:0.1000 2:0.4000 3:0.1000 4:0.1000 5:0.1000 6:0.3000 7:0.2000 8:0.1000 10:0.1000 12:0.3000 13:0.1000 14:0.1000
36	3.400000	-15:0.1000 -10:0.2000 -9:0.1000 -5:0.4000 -4:0.2000 -3:0.1000 -2:0.4000 -1:0.2000 0:0.1000 1:0.1000 2:0.2000 3:0.3000 4:0.2000 5:0.3000 6:0.3000 7:0.1000 12:0.1000
37	3.700000	-15:0.1000 -10:0.1000 -9:0.1000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.4000 -1:0.2000 0:0.2000 1:0.2000 2:0.3000 3:0.2000 4:0.2000 5:0.3000 6:0.3000 7:0.1000 8:0.1000 10:0.1000 11:0.1000 12:0.1000
38	3.400000	-15:0.1000 -10:0.1000 -9:0.2000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.2000 -2:0.3000 -1:0.1000 0:0.2000 1:0.2000 2:0.3000 3:0.1000 4:0.1000 5:0.1000 6:0.2000 7:0.1000 8:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000
39	3.200000	-7:0.2000 -5:0.1000 -2:0.1000 -1:0.2000 0:0.2000 1:0.1000 2:0.2000 3:0.1000 4:0.2000 5:0.3000 6:0.3000 7:0.3000 8:0.3000 10:0.2000 11:0.1000 12:0.1000 15:0.1000 18:0.1000
40	3.700000	-15:0.1000 -10:0.1000 -9:0.2000 -8:0.1000 -7:0.2000 -6:0.1000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.4000 -1:0.2000 0:0.2000 1:0.2000 2:0.2000 3:0.1000 4:0.2000 5:0.2000 6:0.1000 7:0.1000 10:0.1000 11:0.1000 15:0.1000 18:0.1000
41	3.700000	-15:0.1000 -10:0.1000 -9:0.2000 -8:0.1000 -7:0.2000 -6:0.1000 -5:0.4000 -4:0.2000 -3:0.1000 -2:0.6000 -1:0.4000 0:0.2000 1:0.2000 2:0.3000 3:0.1000 5:0.1000 6:0.1000 10:0.1000 11:0.1000
42	3.700000	-15:0.1000 -10:0.1000 -9:0.1000 -8:0.1000 -7:0.1000 -6:0.1000 -5:0.4000 -4:0.2000 -3:0.1000 -2:0.5000 -1:0.4000 0:0.2000 1:0.2000 2:0.3000 3:0.1000 4:0.1000 5:0.1000 6:0.2000 7:0.1000 10:0.1000 11:0.1000
43	3.700000	-15:0.1000 -10:0.1000 -9:0.2000 -8:0.1000 -6:0.2000 -5:0.3000 -4:0.4000 -3:0.2000 -2:0.3000 -1:0.4000 0:0.1000 1:0.2000 2:0.3000 3:0.1000 4:0.1000 5:0.1000 6:0.2000 7:0.1000 10:0.1000 11:0.1000
44	3.600000	-15:0.1000 -11:0.1000 -10:0.1000 -9:0.3000 -8:0.2000 -7:0.1000 -6:0.1000 -5:0.5000 -4:0.3000 -3:0.3000 -2:0.5000 -1:0.2000 1:0.1000 2:0.2000 3:0.1000 5:0.1000 6:0.1000 7:0.1000 12:0.1000
45	3.200000	-15:0.1000 -10:0.1000 -9:0.1000 -8:0.1000 -7:0.1000 -6:0.2000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.6000 -1:0.2000 0:0.4000 2:0.4000 3:0.1000 4:0.2000
46	3.200000	-15:0.1000 -10:0.2000 -9:0.2000 -7:0.3000 -6:0.1000 -4:0.2000 -3:0.2000 -2:0.4000 -1:0.3000 0:0.4000 2:0.3000 3:0.1000 4:0.1000 7:0.1000 8:0.2000
47	2.800000	-10:0.1000 -9:0.1000 -7:0.3000 -6:0.1000 -4:0.2000 -3:0.1000 -2:0.1000 -1:0.1000 0:0.6000 1:0.1000 2:0.3000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 10:0.1000 11:0.1000
48	3.500000	-7:0.3000 -6:0.1000 -5:0.3000 -4:0.1000 -2:0.3000 -1:0.3000 0:0.4000 1:0.1000 2:0.5000 3:0.2000 4:0.2000 5:0.2000 6:0.2000 8:0.1000 10:0.1000 11:0.1000
49	3.000000	-15:0.1000 -13:0.1000 -7:0.2000 -6:0.1000 -5:0.2000 -4:0.1000 -3:0.2000 -2:0.3000 -1:0.2000 0:0.2000 2:0.2000 3:0.2000 4:0.1000 5:0.1000 6:0.2000 8:0.1000 9:0.1000 10:0.2000 11:0.1000
50	3.200000	-15:0.1000 -13:0.1000 -11:0.1000 -10:0.2000 -9:0.1000 -8:0.1000 -7:0.3000 -6:0.1000 -5:0.1000 -4:0.4000 -3:0.2000 -2:0.2000 -1:0.1000 0:0.4000 2:0.2000 3:0.1000 4:0.1000 7:0.1000 9:0.1000 10:0.1000
51	3.000000	-11:0.1000 -10:0.1000 -9:0.1000 -8:0.2000 -7:0.1000 -6:0.2000 -5:0.2000 -4:0.2000 -3:0.1000 -2:0.3000 -1:0.2000 0:0.2000 1:0.1000 2:0.2000 3:0.1000 4:0.1000 6:0.1000 7:0.1000 9:0.2000 10:0.1000
52	3.100000	-11:0.1000 -10:0.1000 -8:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.2000 -2:0.2000 -1:0.3000 0:0.2000 1:0.1000 2:0.3000 3:0.1000 4:0.2000 6:0.1000 7:0.1000 8:0.1000 9:0.2000 10:0.2000 12:0.1000
53	3.900000	-15:0.1000 -11:0.1000 -10:0.2000 -9:0.1000 -8:0.1000 -7:0.2000 -6:0.1000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.1000 -1:0.1000 0:0.3000 1:0.2000 2:0.3000 4:0.3000 5:0.1000 6:0.2000 8:0.1000 9:0.1000 10:0.3000 11:0.1000 12:0.1000 13:0.1000
54	3.300000	-21:0.1000 -18:0.1000 -16:0.1000 -13:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.3000 -3:0.1000 -2:0.3000 -1:0.1000 0:0.4000 2:0.2000 3:0.2000 4:0.3000 5:0.2000 6:0.2000 8:0.1000 13:0.1000
55	3.700000	-21:0.1000 -18:0.1000 -16:0.1000 -13:0.1000 -9:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.3000 -3:0.1000 -2:0.2000 -1:0.4000 0:0.3000 2:0.4000 3:0.2000 4:0.2000 5:0.2000 6:0.1000 8:0.1000 10:0.1000 12:0.1000 13:0.1000
56	4.300000	-18:0.1000 -16:0.1000 -13:0.1000 -11:0.2000 -10:0.1000 -9:0.2000 -8:0.2000 -7:0.1000 -6:0.1000 -5:0.5000 -4:0.3000 -3:0.1000 -2:0.2000 -1:0.3000 0:0.4000 1:0.1000 2:0.3000 3:0.1000 4:0.2000 5:0.1000 9:0.1000 10:0.2000 12:0.1000 13:0.1000
57	3.900000	-18:0.1000 -15:0.1000 -10:0.1000 -9:0.2000 -5:0.3000 -4:0.2000 -3:0.1000 -2:0.3000 -1:0.3000 0:0.1000 1:0.1000 2:0.4000 3:0.2000 5:0.2000 6:0.1000 7:0.1000 8:0.1000 9:0.2000 10:0.1000 12:0.2000 13:0.2000 19:0.1000 28:0.1000
58	3.500000	-21:0.1000 -18:0.1000 -15:0.1000 -10:0.2000 -9:0.1000 -6:0.1000 -5:0.2000 -4:0.2000 -3:0.2000 -2:0.2000 -1:0.4000 0:0.3000 2:0.5000 3:0.2000 4:0.1000 5:0.1000 7:0.1000 9:0.1000 12:0.1000 13:0.1000
59	4.200000	-15:0.1000 -11:0.2000 -10:0.3000 -8:0.2000 -7:0.2000 -6:0.1000 -5:0.4000 -4:0.2000 -3:0.1000 -2:0.1000 -1:0.3000 0:0.4000 2:0.5000 3:0.2000 4:0.2000 5:0.1000 7:0.2000 8:0.1000 9:0.1000 12:0.1000 13:0.1000
60	4.600000	-11:0.1000 -10:0.1000 -9:0.2000 -8:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.3000 -3:0.1000 -2:0.1000 -1:0.2000 0:0.3000 1:0.2000 2:0.5000 3:0.3000 4:0.2000 5:0.3000 6:0.2000 7:0.2000 8:0.2000 9:0.2000 10:0.1000 12:0.1000 13:0.1000 19:0.1000
61	4.100000	-21:0.1000 -7:0.1000 -6:0.1000 -4:0.3000 -3:0.2000 -2:0.1000 -1:0.3000 0:0.4000 1:0.1000 2:0.5000 3:0.5000 4:0.3000 5:0.4000 6:0.1000 7:0.2000 8:0.2000 9:0.1000 12:0.1000
62	4.300000	-19:0.1000 -16:0.1000 -14:0.1000 -12:0.1000 -11:0.1000 -10:0.1000 -8:0.1000 -7:0.2000 -6:0.1000 -5:0.4000 -4:0.1000 -3:0.2000 -2:0.1000 -1:0.3000 0:0.4000 1:0.1000 2:0.5000 3:0.4000 4:0.2000 5:0.2000 7:0.2000 9:0.1000 12:0.1000
63	5.400000	-16:0.1000 -11:0.1000 -9:0.1000 -8:0.2000 -7:0.1000 -6:0.2000 -5:0.4000 -4:0.1000 -3:0.2000 -2:0.3000 -1:0.3000 0:0.3000 1:0.3000 2:0.5000 3:0.5000 4:0.2000 5:0.2000 7:0.2000 8:0.2000 9:0.2000 10:0.1000 12:0.1000 13:0.1000 15:0.1000 16:0.1000 18:0.1000 19:0.1000
64	5.200000	-16:0.1000 -11:0.1000 -10:0.1000 -9:0.1000 -8:0.2000 -7:0.2000 -6:0.2000 -5:0.5000 -4:0.2000 -3:0.1000 -2:0.3000 -1:0.2000 0:0.3000 1:0.2000 2:0.4000 3:0.4000 4:0.2000 5:0.2000 6:0.1000 7:0.3000 8:0.3000 9:0.2000 12:0.1000 13:0.1000 19:0.1000
65	6.700000	-18:0.1000 -16:0.1000 -13:0.1000 -9:0.1000 -7:0.1000 -6:0.1000 -5:0.2000 -4:0.3000 -3:0.3000 -2:0.1000 -1:0.2000 0:0.3000 1:0.1000 2:0.2000 3:0.2000 4:0.2000 5:0.4000 6:0.4000 7:0.3000 8:0.3000 9:0.2000 10:0.3000 12:0.3000 13:0.3000 14:0.2000 15:0.3000 16:0.1000 17:0.2000 18:0.2000 19:0.1000 20:0.1000 22:0.2000 25:0.1000
66	6.300000	-18:0.1000 -16:0.1000 -14:0.1000 -13:0.2000 -11:0.1000 -10:0.1000 -9:0.2000 -8:0.1000 -6:0.3000 -5:0.1000 -4:0.2000 -3:0.2000 -2:0.1000 -1:0.3000 0:0.3000 1:0.2000 2:0.2000 3:0.2000 4:0.2000 5:0.2000 6:0.1000 7:0.2000 8:0.2000 9:0.2000 10:0.4000 12:0.2000 13:0.4000 14:0.1000 15:0.3000 16:0.1000 17:0.2000 18:0.2000 19:0.1000 22:0.1000
67	6.100000	-18:0.1000 -16:0.1000 -14:0.1000 -13:0.2000 -10:0.2000 -9:0.2000 -8:0.1000 -6:0.3000 -5:0.1000 -4:0.2000 -3:0.2000 -2:0.1000 -1:0.2000 0:0.3000 1:0.2000 2:0.1000 3:0.2000 4:0.2000 5:0.2000 6:0.1000 7:0.2000 8:0.2000 9:0.2000 10:0.4000 12:0.2000 13:0.4000 14:0.1000 15:0.3000 16:0.1000 17:0.2000 18:0.2000 19:0.1000 22:0.1000
68	5.400000	-18:0.1000 -15:0.1000 -14:0.1000 -13:0.1000 -12:0.1000 -11:0.1000 -10:0.3000 -9:0.3000 -8:0.1000 -7:0.1000 -6:0.3000 -5:0.3000 -4:0.4000 -3:0.3000 -2:0.4000 0:0.2000 1:0.1000 2:0.2000 3:0.2000 4:0.2000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 12:0.1000 13:0.3000 14:0.1000 15:0.1000 17:0.1000 18:0.1000
69	7.100000	-19:0.1000 -18:0.1000 -16:0.2000 -14:0.2000 -13:0.1000 -12:0.2000 -11:0.2000 -10:0.2000 -9:0.1000 -8:0.1000 -7:0.2000 -6:0.2000 -5:0.3000 -4:0.5000 -3:0.1000 -2:0.1000 -1:0.3000 0:0.4000 2:0.4000 3:0.2000 4:0.3000 5:0.1000 6:0.1000 7:0.1000 8:0.2000 9:0.2000 10:0.3000 12:0.2000 13:0.4000 14:0.1000 15:0.3000 16:0.1000 17:0.1000 18:0.2000 20:0.1000 24:0.1000
70	6.000000	-19:0.1000 -18:0.1000 -16:0.2000 -15:0.1000 -14:0.1000 -13:0.2000 -12:0.1000 -10:0.2000 -9:0.3000 -7:0.2000 -5:0.3000 -4:0.3000 -3:0.2000 -2:0.1000 -1:0.3000 0:0.2000 2:0.2000 3:0.2000 4:0.2000 5:0.1000 6:0.2000 7:0.2000 8:0.2000 9:0.2000 10:0.3000 12:0.2000 13:0.2000 14:0.1000 15:0.2000 16:0.1000 17:0.1000 18:0.2000 24:0.1000
71	5.700000	-19:0.1000 -18:0.1000 -16:0.1000 -15:0.1000 -14:0.1000 -13:0.1000 -12:0.1000 -10:0.2000 -9:0.5000 -8:0.1000 -7:0.3000 -6:0.1000 -5:0.4000 -4:0.1000 -3:0.3000 -2:0.2000 -1:0.3000 0:0.2000 1:0.1000 2:0.1000 3:0.4000 4:0.2000 6:0.1000 7:0.1000 8:0.2000 9:0.1000 10:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.2000 16:0.1000 18:0.2000 24:0.1000
72	6.800000	-21:0.1000 -18:0.1000 -16:0.1000 -14:0.1000 -13:0.3000 -12:0.2000 -10:0.3000 -9:0.5000 -8:0.2000 -7:0.3000 -6:0.1000 -5:0.3000 -4:0.4000 -3:0.2000 -2:0.3000 -1:0.4000 0:0.2000 1:0.2000 2:0.3000 3:0.3000 4:0.5000 5:0.2000 6:0.2000 7:0.1000 8:0.1000 10:0.1000 12:0.2000 13:0.1000 14:0.1000 15:0.1000 18:0.1000 28:0.1000
73	8.500000	-21:0.1000 -18:0.1000 -14:0.1000 -13:0.2000 -12:0.1000 -11:0.1000 -10:0.4000 -9:0.4000 -8:0.3000 -7:0.4000 -6:0.2000 -5:0.4000 -4:0.3000 -3:0.3000 -2:0.4000 -1:0.3000 0:0.3000 1:0.1000 2:0.4000 3:0.2000 4:0.5000 5:0.2000 6:0.3000 7:0.4000 8:0.2000 9:0.2000 10:0.2000 11:0.1000 12:0.1000 13:0.3000 14:0.1000 15:0.2000 16:0.1000 17:0.2000 18:0.2000 19:0.1000
74	9.000000	-21:0.1000 -18:0.1000 -15:0.1000 -14:0.1000 -13:0.2000 -12:0.1000 -11:0.2000 -10:0.5000 -9:0.4000 -8:0.4000 -7:0.3000 -6:0.2000 -5:0.4000 -4:0.3000 -3:0.5000 -2:0.3000 -1:0.2000 0:0.3000 2:0.6000 3:0.1000 4:0.5000 5:0.1000 6:0.4000 7:0.3000 8:0.2000 9:0.2000 10:0.2000 11:0.1000 12:0.1000 13:0.5000 14:0.1000 15:0.2000 16:0.1000 17:0.2000 18:0.2000 19:0.2000
75	8.600000	-21:0.1000 -14:0.1000 -13:0.3000 -12:0.2000 -11:0.1000 -10:0.6000 -9:0.4000 -8:0.3000 -7:0.4000 -6:0.2000 -5:0.7000 -4:0.4000 -3:0.3000 -2:0.6000 -1:0.3000 0:0.1000 1:0.1000 2:0.2000 3:0.3000 4:0.2000 5:0.1000 6:0.4000 7:0.2000 8:0.2000 9:0.3000 10:0.2000 11:0.1000 12:0.1000 13:0.3000 15:0.2000 16:0.1000 17:0.1000 18:0.2000 19:0.2000
76	8.600000	-21:0.1000 -18:0.1000 -17:0.1000 -16:0.1000 -15:0.1000 -14:0.1000 -13:0.2000 -12:0.3000 -11:0.3000 -10:0.4000 -9:0.3000 -8:0.3000 -7:0.5000 -6:0.2000 -5:0.4000 -4:0.6000 -3:0.3000 -2:0.4000 -1:0.2000 0:0.2000 1:0.2000 2:0.3000 3:0.2000 4:0.3000 5:0.2000 6:0.4000 7:0.1000 8:0.1000 9:0.1000 10:0.3000 11:0.1000 12:0.2000 13:0.2000 14:0.1000 15:0.2000 16:0.1000 18:0.2000 19:0.1000
77	7.400000	-21:0.1000 -18:0.1000 -16:0.1000 -15:0.1000 -14:0.1000 -13:0.2000 -12:0.1000 -10:0.3000 -9:0.3000 -8:0.1000 -7:0.2000 -6:0.1000 -5:0.3000 -4:0.4000 -3:0.2000 -2:0.3000 -1:0.2000 0:0.1000 1:0.1000 2:0.3000 3:0.4000 4:0.4000 5:0.3000 6:0.3000 8:0.1000 9:0.1000 10:0.2000 12:0.2000 13:0.4000 14:0.1000 15:0.3000 16:0.1000 17:0.1000 18:0.2000 19:0.2000 22:0.1000 26:0.1000 28:0.1000
78	6.800000	-27:0.1000 -25:0.1000 -24:0.1000 -21:0.1000 -18:0.2000 -14:0.1000 -12:0.2000 -11:0.1000 -10:0.2000 -9:0.4000 -8:0.1000 -7:0.4000 -6:0.2000 -5:0.3000 -4:0.4000 -3:0.1000 -2:0.3000 -1:0.2000 0:0.2000 1:0.1000 2:0.3000 3:0.3000 4:0.2000 5:0.4000 6:0.4000 8:0.1000 10:0.1000 12:0.1000 13:0.3000 15:0.1000 17:0.1000 19:0.2000 22:0.1000 26:0.1000 28:0.1000
79	6.300000	-27:0.1000 -25:0.1000 -24:0.1000 -18:0.2000 -13:0.1000 -12:0.1000 -11:0.1000 -10:0.2000 -9:0.3000 -8:0.2000 -7:0.3000 -6:0.1000 -5:0.4000 -4:0.3000 -3:0.2000 -2:0.3000 -1:0.2000 0:0.2000 1:0.2000 2:0.2000 3:0.2000 4:0.3000 5:0.2000 6:0.4000 7:0.1000 8:0.1000 9:0.1000 10:0.2000 12:0.2000 13:0.2000 14:0.1000 15:0.1000 18:0.1000 19:0.1000
80	8.000000	-15:0.1000 -14:0.1000 -13:0.1000 -12:0.2000 -10:0.2000 -9:0.4000 -8:0.1000 -7:0.4000 -6:0.4000 -5:0.3000 -4:0.2000 -3:0.3000 -2:0.5000 -1:0.3000 0:0.2000 1:0.3000 2:0.2000 3:0.2000 4:0.4000 5:0.1000 6:0.3000 7:0.2000 8:0.2000 9:0.2000 10:0.4000 11:0.1000 12:0.3000 13:0.3000 14:0.1000 15:0.2000 16:0.1000 17:0.1000 18:0.3000 19:0.2000
81	8.600000	-16:0.1000 -14:0.1000 -13:0.2000 -11:0.1000 -10:0.2000 -9:0.4000 -8:0.2000 -7:0.3000 -6:0.4000 -5:0.4000 -4:0.2000 -3:0.3000 -2:0.3000 -1:0.3000 0:0.5000 1:0.2000 2:0.5000 3:0.1000 4:0.5000 5:0.1000 6:0.4000 7:0.2000 8:0.3000 9:0.2000 10:0.4000 11:0.2000 12:0.4000 13:0.2000 14:0.1000 15:0.2000 16:0.1000 17:0.1000 18:0.3000 19:0.1000
82	10.000000	-25:0.1000 -23:0.1000 -18:0.1000 -17:0.2000 -13:0.3000 -12:0.2000 -11:0.3000 -10:0.3000 -9:0.4000 -8:0.5000 -7:0.3000 -6:0.4000 -5:0.3000 -4:0.4000 -3:0.6000 -2:0.4000 -1:0.3000 0:0.4000 1:0.2000 2:0.3000 3:0.1000 4:0.3000 5:0.1000 6:0.4000 7:0.2000 8:0.3000 9:0.3000 10:0.3000 11:0.1000 12:0.2000 13:0.2000 14:0.1000 15:0.4000 16:0.1000 17:0.1000 18:0.3000 19:0.2000 22:0.1000 26:0.1000
83	8.100000	-25:0.1000 -23:0.1000 -18:0.2000 -17:0.2000 -16:0.1000 -13:0.3000 -12:0.2000 -11:0.2000 -10:0.3000 -9:0.3000 -8:0.4000 -7:0.1000 -6:0.1000 -5:0.4000 -4:0.4000 -3:0.5000 -2:0.3000 -1:0.3000 0:0.1000 1:0.1000 2:0.3000 3:0.2000 4:0.1000 5:0.2000 6:0.2000 7:0.2000 8:0.1000 9:0.1000 10:0.2000 11:0.1000 12:0.2000 13:0.2000 15:0.3000 16:0.1000 17:0.2000 18:0.2000 19:0.2000 22:0.1000 24:0.1000 26:0.1000
84	9.100000	-27:0.1000 -25:0.2000 -24:0.1000 -23:0.1000 -18:0.3000 -17:0.2000 -16:0.1000 -15:0.1000 -13:0.1000 -12:0.2000 -11:0.3000 -10:0.2000 -9:0.1000 -8:0.5000 -7:0.3000 -6:0.2000 -5:0.3000 -4:0.3000 -3:0.4000 -2:0.2000 -1:0.4000 0:0.2000 2:0.4000 3:0.2000 4:0.2000 5:0.4000 6:0.2000 7:0.1000 8:0.1000 9:0.2000 10:0.4000 12:0.3000 13:0.3000 14:0.1000 15:0.4000 16:0.2000 17:0.1000 18:0.3000 19:0.1000 22:0.1000 26:0.1000
85	8.400000	-25:0.1000 -23:0.1000 -18:0.1000 -17:0.1000 -16:0.1000 -15:0.1000 -13:0.2000 -12:0.1000 -11:0.2000 -10:0.2000 -9:0.4000 -8:0.4000 -7:0.3000 -6:0.2000 -5:0.2000 -4:0.1000 -3:0.3000 -2:0.4000 -1:0.2000 0:0.2000 1:0.1000 2:0.2000 3:0.4000 4:0.3000 5:0.2000 6:0.2000 8:0.2000 9:0.2000 10:0.4000 12:0.4000 13:0.4000 14:0.1000 15:0.3000 16:0.1000 17:0.2000 18:0.3000 19:0.2000 22:0.1000 26:0.1000
