t	iOTOC	Densities
0	1.000000	-1:1.0000
1	1.400000	-3:0.2000 -1:0.2000 2:1.0000
2	1.000000	-3:0.6000 2:0.4000
3	1.600000	-3:0.6000 -1:0.4000 3:0.2000 4:0.4000
4	1.000000	-5:0.6000 -3:0.4000
5	1.600000	-5:0.2000 -3:0.4000 -1:0.2000 1:0.2000 2:0.2000 3:0.2000 6:0.2000
6	1.400000	-7:0.2000 -6:0.2000 -3:0.4000 -2:0.2000 -1:0.2000 2:0.2000
7	1.000000	-5:0.4000 -2:0.2000 -1:0.2000 8:0.2000
8	1.200000	-9:0.2000 -7:0.2000 -5:0.4000 -4:0.2000 -3:0.2000
9	1.000000	-7:0.2000 1:0.2000 8:0.2000 10:0.4000
10	1.000000	-11:0.2000 -7:0.4000 -5:0.2000 8:0.2000
11	1.400000	-4:0.2000 4:0.4000 5:0.2000 6:0.2000 10:0.2000 11:0.2000
12	1.600000	-13:0.4000 -7:0.4000 -6:0.2000 -3:0.2000 -1:0.2000 4:0.2000
13	1.600000	-7:0.2000 -1:0.2000 3:0.2000 4:0.2000 10:0.2000 12:0.4000 14:0.2000
14	1.400000	-11:0.2000 -7:0.2000 0:0.2000 4:0.2000 5:0.2000 6:0.2000 10:0.2000
15	1.600000	-7:0.2000 -5:0.2000 1:0.4000 3:0.2000 4:0.2000 7:0.2000 11:0.2000
16	1.600000	-17:0.2000 -15:0.2000 -13:0.4000 -11:0.2000 -9:0.2000 -3:0.2000 0:0.2000
17	2.200000	-15:0.2000 -13:0.2000 -11:0.2000 -9:0.2000 -3:0.2000 1:0.4000 6:0.2000 8:0.2000 10:0.2000 12:0.2000
18	2.000000	-19:0.2000 -10:0.2000 -3:0.2000 0:0.2000 1:0.2000 4:0.2000 7:0.2000 8:0.2000 10:0.2000 11:0.2000
19	1.800000	-11:0.2000 -7:0.2000 -5:0.2000 8:0.2000 12:0.2000 14:0.2000 15:0.2000 18:0.2000 20:0.2000
20	2.800000	-19:0.4000 -18:0.2000 -16:0.2000 -15:0.2000 -10:0.2000 -8:0.2000 -6:0.2000 -3:0.2000 -2:0.2000 4:0.4000 12:0.2000 14:0.2000
21	3.200000	-6:0.2000 -3:0.2000 -1:0.2000 0:0.2000 1:0.2000 4:0.4000 5:0.2000 6:0.2000 7:0.2000 8:0.2000 11:0.2000 14:0.2000 17:0.2000 20:0.4000
22	2.400000	-23:0.4000 -18:0.2000 -15:0.2000 -14:0.2000 -13:0.4000 -7:0.2000 -6:0.2000 -3:0.2000 4:0.2000 15:0.2000
23	3.600000	-19:0.2000 -18:0.2000 -17:0.2000 -15:0.2000 -13:0.2000 -10:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -3:0.2000 1:0.4000 4:0.2000 5:0.2000 6:0.2000 7:0.2000 15:0.2000 21:0.2000
24	3.400000	-23:0.2000 -19:0.2000 -18:0.2000 -17:0.4000 -15:0.2000 -13:0.2000 -10:0.4000 -9:0.2000 -6:0.2000 -3:0.2000 -2:0.2000 1:0.2000 10:0.2000 12:0.2000 21:0.2000
25	2.800000	-18:0.4000 -17:0.2000 -15:0.2000 -9:0.2000 -6:0.2000 -3:0.2000 -1:0.2000 0:0.2000 1:0.4000 10:0.2000 11:0.2000 18:0.2000
26	2.400000	-25:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -2:0.2000 1:0.2000 4:0.2000 5:0.2000 8:0.2000 11:0.2000 14:0.2000 17:0.2000
27	3.200000	-7:0.2000 -5:0.2000 -1:0.2000 4:0.2000 5:0.4000 8:0.2000 10:0.2000 11:0.4000 12:0.2000 14:0.2000 17:0.4000 20:0.4000
28	5.000000	-27:0.2000 -21:0.2000 -20:0.2000 -18:0.2000 -15:0.2000 -13:0.2000 -12:0.2000 -11:0.4000 -10:0.2000 -9:0.2000 -5:0.2000 -3:0.4000 0:0.2000 4:0.2000 8:0.6000 12:0.4000 14:0.2000 18:0.2000 20:0.4000
29	4.200000	-21:0.2000 -20:0.2000 -19:0.2000 -18:0.4000 -17:0.2000 -15:0.2000 -12:0.2000 -10:0.2000 -9:0.2000 -7:0.4000 -6:0.4000 -3:0.2000 1:0.4000 7:0.2000 8:0.2000 20:0.2000 21:0.2000
30	2.600000	-31:0.2000 -30:0.2000 -17:0.2000 -14:0.2000 -12:0.2000 -10:0.2000 -4:0.4000 1:0.2000 4:0.2000 5:0.2000 11:0.2000 14:0.2000
31	4.200000	-16:0.2000 -10:0.2000 -3:0.2000 0:0.2000 1:0.2000 4:0.4000 5:0.6000 8:0.4000 11:0.2000 14:0.4000 16:0.2000 17:0.2000 18:0.2000 27:0.2000 30:0.2000 32:0.2000
32	4.400000	-21:0.2000 -20:0.2000 -18:0.4000 -16:0.2000 -12:0.2000 -11:0.2000 -10:0.2000 -7:0.2000 -6:0.4000 -3:0.4000 0:0.2000 1:0.4000 3:0.2000 4:0.2000 5:0.2000 7:0.2000 8:0.4000
33	3.400000	-31:0.2000 -21:0.2000 -20:0.2000 -14:0.2000 -12:0.2000 -3:0.2000 -1:0.2000 1:0.4000 5:0.4000 13:0.2000 14:0.2000 16:0.2000 17:0.2000 20:0.2000 26:0.2000
