t	iOTOC	Densities
34	4.800000	-27:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -11:0.2000 -5:0.2000 -4:0.2000 -3:0.2000 -2:0.2000 -1:0.2000 0:0.2000 1:0.4000 2:0.2000 3:0.2000 5:0.4000 6:0.2000 8:0.2000 14:0.2000 17:0.2000 27:0.2000 30:0.2000 32:0.2000
35	6.000000	-27:0.2000 -25:0.2000 -18:0.4000 -17:0.4000 -15:0.2000 -11:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -5:0.2000 -3:0.2000 1:0.2000 4:0.2000 5:0.2000 7:0.2000 8:0.4000 9:0.2000 11:0.2000 12:0.2000 14:0.2000 17:0.2000 20:0.4000 21:0.2000 22:0.2000 24:0.2000 34:0.2000
36	4.800000	-29:0.2000 -27:0.2000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.4000 -15:0.2000 -12:0.2000 -10:0.2000 -9:0.4000 -7:0.2000 -6:0.2000 -5:0.4000 -2:0.2000 10:0.2000 15:0.2000 20:0.2000 21:0.2000 24:0.2000 34:0.2000
37	3.000000	-18:0.2000 -15:0.2000 -13:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -3:0.2000 -1:0.2000 0:0.2000 4:0.2000 5:0.2000 7:0.2000 18:0.2000 22:0.2000 28:0.2000
38	5.800000	-35:0.2000 -32:0.2000 -28:0.2000 -25:0.2000 -24:0.2000 -18:0.4000 -17:0.4000 -16:0.4000 -14:0.2000 -12:0.2000 -11:0.2000 -10:0.2000 -9:0.2000 -8:0.2000 -7:0.2000 -6:0.2000 -4:0.2000 -3:0.2000 0:0.2000 1:0.4000 8:0.4000 10:0.2000 20:0.2000 26:0.2000
39	3.800000	-17:0.2000 -5:0.2000 -4:0.2000 -2:0.2000 -1:0.2000 0:0.2000 1:0.4000 2:0.2000 3:0.2000 8:0.4000 9:0.2000 12:0.2000 13:0.2000 14:0.2000 15:0.2000 18:0.2000 34:0.2000
40	3.000000	-39:0.2000 -28:0.2000 -24:0.2000 -14:0.2000 -11:0.2000 -10:0.2000 -6:0.2000 -3:0.2000 1:0.2000 4:0.2000 5:0.2000 6:0.2000 12:0.2000 17:0.2000 20:0.2000
41	7.000000	-27:0.2000 -21:0.2000 -18:0.4000 -16:0.2000 -11:0.2000 -9:0.2000 -7:0.2000 -5:0.4000 -4:0.2000 -3:0.8000 -2:0.2000 -1:0.2000 0:0.2000 1:0.4000 2:0.2000 3:0.2000 5:0.2000 7:0.2000 8:0.4000 10:0.2000 13:0.2000 14:0.4000 15:0.2000 18:0.2000 21:0.2000 26:0.2000 32:0.2000
42	5.600000	-27:0.4000 -25:0.2000 -17:0.2000 -16:0.2000 -14:0.4000 -12:0.2000 -11:0.4000 -6:0.2000 -5:0.2000 -4:0.4000 -3:0.2000 0:0.2000 7:0.4000 8:0.2000 10:0.2000 12:0.2000 13:0.2000 14:0.4000 15:0.2000 18:0.4000 32:0.2000
43	5.400000	-29:0.2000 -21:0.2000 -20:0.2000 -17:0.2000 -12:0.2000 -11:0.2000 -5:0.4000 -3:0.6000 -1:0.2000 1:0.2000 2:0.2000 4:0.2000 5:0.4000 8:0.6000 12:0.4000 14:0.2000 18:0.2000 27:0.2000 30:0.2000 32:0.2000
44	4.400000	-33:0.2000 -29:0.2000 -27:0.4000 -25:0.2000 -24:0.2000 -21:0.4000 -20:0.4000 -18:0.2000 -17:0.2000 -16:0.2000 -15:0.2000 -14:0.2000 -12:0.2000 -9:0.2000 -8:0.2000 -5:0.2000 -4:0.2000 -2:0.2000 10:0.2000
45	4.200000	-29:0.2000 -21:0.2000 -20:0.2000 -18:0.2000 -15:0.2000 -13:0.2000 -12:0.2000 -11:0.2000 -9:0.2000 -3:0.4000 1:0.2000 4:0.2000 6:0.2000 8:0.2000 9:0.2000 10:0.2000 15:0.2000 18:0.2000 20:0.2000 33:0.2000
46	3.600000	-27:0.2000 -24:0.2000 -18:0.2000 -11:0.2000 -8:0.2000 -3:0.6000 1:0.2000 3:0.2000 4:0.2000 5:0.4000 8:0.2000 10:0.2000 14:0.2000 21:0.2000 28:0.2000
47	5.200000	-39:0.2000 -15:0.2000 -14:0.2000 -11:0.2000 -7:0.2000 -3:0.4000 -1:0.2000 0:0.2000 1:0.2000 3:0.4000 5:0.2000 8:0.4000 10:0.2000 11:0.2000 13:0.2000 14:0.2000 21:0.2000 22:0.4000 26:0.2000 27:0.2000 30:0.2000 33:0.2000
48	6.800000	-45:0.2000 -35:0.2000 -34:0.2000 -31:0.2000 -27:0.2000 -24:0.2000 -19:0.2000 -17:0.2000 -15:0.4000 -14:0.2000 -13:0.2000 -8:0.4000 -5:0.4000 -3:0.2000 -2:0.2000 -1:0.2000 1:0.6000 4:0.2000 5:0.4000 6:0.2000 7:0.2000 8:0.4000 12:0.4000 14:0.2000 16:0.2000 18:0.2000
49	4.600000	-35:0.4000 -34:0.2000 -32:0.2000 -31:0.2000 -19:0.2000 -18:0.2000 -16:0.2000 -15:0.4000 -14:0.2000 -13:0.2000 -12:0.2000 -9:0.4000 -8:0.2000 -3:0.2000 4:0.2000 5:0.2000 8:0.2000 10:0.2000 11:0.2000 28:0.2000
50	6.200000	-39:0.2000 -33:0.2000 -31:0.2000 -26:0.2000 -18:0.4000 -16:0.2000 -15:0.4000 -14:0.2000 -13:0.4000 -11:0.2000 -10:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -4:0.2000 -3:0.4000 -1:0.2000 0:0.2000 1:0.4000 3:0.2000 8:0.2000 10:0.2000 11:0.2000 18:0.2000 22:0.2000 26:0.2000
51	5.600000	-18:0.2000 -15:0.2000 -13:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -5:0.2000 -4:0.2000 -3:0.2000 1:0.4000 3:0.4000 5:0.2000 6:0.2000 7:0.4000 9:0.2000 12:0.2000 13:0.2000 14:0.2000 15:0.2000 20:0.2000 21:0.4000 24:0.2000 34:0.2000 36:0.2000
52	6.800000	-31:0.2000 -30:0.2000 -29:0.2000 -27:0.2000 -26:0.2000 -17:0.2000 -14:0.2000 -13:0.2000 -12:0.2000 -11:0.2000 -10:0.4000 -5:0.2000 -3:0.8000 -2:0.2000 -1:0.2000 1:0.2000 2:0.4000 3:0.2000 4:0.2000 5:0.2000 7:0.2000 8:0.4000 9:0.2000 11:0.2000 12:0.2000 14:0.2000 15:0.2000 21:0.2000
53	8.400000	-33:0.2000 -31:0.2000 -29:0.2000 -26:0.2000 -18:0.2000 -11:0.4000 -6:0.2000 -5:0.2000 -3:0.6000 -1:0.2000 2:0.2000 3:0.2000 4:0.2000 5:0.4000 6:0.2000 8:0.6000 11:0.4000 12:0.2000 18:0.2000 20:0.4000 21:0.4000 22:0.2000 24:0.2000 26:0.2000 27:0.2000 28:0.2000 30:0.4000 31:0.2000 33:0.2000 34:0.2000 40:0.2000 46:0.2000
54	9.800000	-45:0.2000 -38:0.2000 -37:0.2000 -33:0.4000 -32:0.4000 -31:0.4000 -30:0.2000 -29:0.2000 -28:0.2000 -27:0.4000 -26:0.6000 -24:0.2000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -15:0.2000 -12:0.6000 -10:0.2000 -9:0.4000 -8:0.2000 -3:0.2000 -1:0.2000 1:0.2000 2:0.2000 3:0.4000 4:0.2000 5:0.2000 8:0.2000 10:0.2000 11:0.2000 13:0.2000 14:0.2000 16:0.2000 21:0.2000 22:0.2000
55	13.400000	-45:0.2000 -37:0.2000 -33:0.4000 -32:0.2000 -31:0.2000 -30:0.2000 -28:0.4000 -27:0.6000 -26:0.4000 -21:0.2000 -19:0.2000 -18:0.2000 -17:0.4000 -16:0.4000 -15:0.2000 -14:0.4000 -13:0.2000 -12:0.4000 -11:0.2000 -10:0.4000 -9:0.2000 -8:0.2000 -6:0.4000 -5:0.2000 -4:0.2000 -3:0.2000 -1:0.2000 0:0.2000 1:0.2000 2:0.2000 3:0.2000 4:0.4000 5:0.2000 7:0.2000 8:0.2000 9:0.2000 10:0.2000 12:0.2000 15:0.2000 16:0.4000 17:0.2000 19:0.2000 21:0.2000 23:0.2000 24:0.2000 26:0.2000 27:0.4000 28:0.4000 30:0.2000 34:0.2000 35:0.2000 36:0.2000
56	11.800000	-35:0.4000 -34:0.2000 -33:0.2000 -32:0.2000 -31:0.4000 -27:0.2000 -26:0.2000 -21:0.2000 -19:0.2000 -18:0.4000 -17:0.2000 -16:0.2000 -15:0.4000 -14:0.4000 -13:0.4000 -12:0.2000 -11:0.2000 -10:0.2000 -9:0.6000 -8:0.4000 -7:0.4000 -6:0.2000 -4:0.2000 -3:0.4000 -2:0.2000 -1:0.2000 0:0.2000 1:0.2000 2:0.2000 3:0.2000 4:0.6000 5:0.2000 7:0.2000 10:0.2000 11:0.2000 12:0.2000 15:0.2000 20:0.4000 21:0.2000 26:0.2000 27:0.2000 29:0.2000 30:0.2000 36:0.2000 37:0.2000
57	9.600000	-39:0.2000 -35:0.2000 -34:0.2000 -33:0.2000 -31:0.2000 -27:0.2000 -19:0.2000 -16:0.2000 -15:0.4000 -14:0.4000 -13:0.4000 -10:0.2000 -9:0.2000 -8:0.2000 -5:0.2000 -4:0.2000 -3:0.6000 1:0.2000 3:0.4000 5:0.2000 7:0.2000 8:0.2000 9:0.2000 10:0.2000 11:0.2000 12:0.2000 13:0.4000 14:0.2000 15:0.4000 21:0.2000 22:0.2000 27:0.2000 28:0.2000 29:0.2000 30:0.2000 31:0.2000 33:0.2000 34:0.2000 36:0.2000 37:0.2000
58	6.400000	-35:0.2000 -32:0.4000 -30:0.2000 -17:0.2000 -16:0.2000 -12:0.4000 -10:0.2000 -9:0.2000 -8:0.2000 -6:0.2000 -5:0.2000 -1:0.4000 1:0.4000 3:0.2000 6:0.2000 7:0.2000 8:0.4000 9:0.2000 12:0.2000 13:0.2000 17:0.2000 20:0.2000 22:0.4000 26:0.2000 27:0.2000 30:0.2000
59	6.200000	-45:0.2000 -35:0.2000 -32:0.2000 -30:0.2000 -24:0.2000 -18:0.2000 -16:0.4000 -12:0.4000 -11:0.2000 -10:0.2000 -9:0.2000 -8:0.2000 -7:0.2000 -6:0.2000 -5:0.2000 -4:0.2000 -3:0.2000 -1:0.2000 0:0.2000 1:0.2000 7:0.2000 8:0.4000 9:0.2000 12:0.2000 17:0.2000 20:0.2000 22:0.2000 26:0.2000
60	8.800000	-35:0.2000 -34:0.2000 -33:0.2000 -31:0.2000 -29:0.2000 -27:0.2000 -24:0.2000 -21:0.2000 -19:0.2000 -18:0.4000 -16:0.2000 -15:0.4000 -14:0.4000 -13:0.4000 -11:0.4000 -10:0.2000 -7:0.2000 -5:0.2000 -4:0.2000 -3:0.4000 -1:0.2000 0:0.2000 1:0.2000 7:0.2000 8:0.2000 12:0.2000 18:0.2000 20:0.2000 21:0.2000 22:0.4000 26:0.4000 27:0.2000 28:0.2000 30:0.2000 31:0.2000 46:0.2000
61	9.600000	-35:0.2000 -34:0.2000 -33:0.2000 -31:0.2000 -29:0.2000 -27:0.4000 -25:0.2000 -24:0.2000 -21:0.2000 -19:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -15:0.4000 -14:0.4000 -13:0.2000 -12:0.2000 -11:0.6000 -9:0.2000 -5:0.2000 -4:0.2000 -3:0.4000 1:0.2000 7:0.4000 8:0.2000 10:0.2000 12:0.2000 13:0.2000 14:0.2000 18:0.2000 20:0.2000 22:0.2000 26:0.6000 27:0.4000 28:0.2000 30:0.2000 31:0.2000 54:0.2000
62	8.200000	-57:0.2000 -53:0.2000 -52:0.2000 -50:0.2000 -46:0.2000 -45:0.2000 -41:0.2000 -36:0.2000 -33:0.4000 -31:0.2000 -30:0.2000 -26:0.2000 -24:0.4000 -23:0.2000 -21:0.2000 -15:0.2000 -14:0.2000 -13:0.2000 -11:0.2000 -10:0.4000 -6:0.2000 -5:0.2000 -3:0.6000 -1:0.2000 1:0.2000 2:0.2000 3:0.4000 5:0.2000 8:0.4000 11:0.2000 13:0.2000 14:0.2000 21:0.2000 22:0.2000
63	6.200000	-18:0.2000 -15:0.4000 -14:0.2000 -9:0.2000 -7:0.2000 -6:0.2000 -5:0.2000 -3:0.2000 -1:0.4000 0:0.2000 1:0.2000 3:0.2000 4:0.2000 5:0.2000 7:0.2000 8:0.2000 10:0.2000 11:0.4000 12:0.2000 14:0.4000 18:0.2000 19:0.2000 20:0.2000 21:0.2000 22:0.4000 28:0.2000
64	11.800000	-37:0.2000 -35:0.4000 -34:0.2000 -32:0.4000 -30:0.2000 -29:0.4000 -27:0.4000 -26:0.2000 -25:0.2000 -24:0.2000 -19:0.2000 -18:0.2000 -17:0.4000 -16:0.4000 -15:0.2000 -14:0.2000 -12:0.2000 -11:0.2000 -10:0.2000 -9:0.4000 -8:0.2000 -6:0.6000 -5:0.4000 -3:0.2000 -1:0.4000 7:0.6000 8:0.4000 9:0.2000 10:0.4000 12:0.2000 16:0.2000 17:0.2000 19:0.2000 20:0.6000 21:0.2000 22:0.4000 27:0.2000 28:0.4000 30:0.2000 35:0.2000
65	17.200000	-39:0.2000 -37:0.2000 -35:0.2000 -34:0.2000 -33:0.2000 -32:0.2000 -30:0.2000 -29:0.2000 -27:0.4000 -24:0.4000 -19:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -12:0.2000 -11:0.2000 -10:0.2000 -9:0.4000 -8:0.4000 -7:0.2000 -6:0.4000 -5:0.6000 -4:0.2000 -3:0.6000 -1:0.2000 0:0.2000 1:0.4000 2:0.2000 3:0.6000 5:0.6000 6:0.2000 7:0.2000 9:0.4000 10:0.2000 11:0.4000 12:0.4000 13:0.6000 14:0.2000 15:0.4000 16:0.4000 17:0.2000 18:0.2000 19:0.2000 20:0.4000 21:0.4000 22:0.2000 23:0.2000 24:0.4000 26:0.2000 27:0.4000 28:0.4000 29:0.4000 30:0.4000 32:0.2000 34:0.4000 35:0.2000 37:0.2000
66	18.800000	-47:0.2000 -42:0.2000 -39:0.4000 -37:0.4000 -35:0.4000 -34:0.2000 -33:0.2000 -32:0.2000 -29:0.6000 -28:0.2000 -27:0.2000 -24:0.2000 -21:0.2000 -19:0.2000 -18:0.2000 -17:0.2000 -16:0.4000 -15:0.4000 -14:0.2000 -13:0.6000 -12:0.2000 -11:0.4000 -10:0.2000 -9:0.6000 -8:0.6000 -6:0.4000 -5:0.4000 -3:0.6000 -1:0.4000 0:0.2000 1:0.2000 2:0.2000 3:0.4000 5:0.2000 6:0.4000 7:0.4000 9:0.6000 10:0.2000 11:0.2000 12:0.6000 13:0.2000 15:0.4000 17:0.4000 18:0.2000 19:0.2000 20:0.4000 22:0.4000 23:0.2000 24:0.2000 26:0.4000 27:0.4000 28:0.4000 29:0.4000 30:0.4000 31:0.2000 32:0.2000 33:0.2000 34:0.2000 37:0.2000
67	11.200000	-37:0.4000 -30:0.2000 -29:0.2000 -18:0.2000 -16:0.2000 -15:0.6000 -14:0.2000 -13:0.4000 -12:0.2000 -11:0.2000 -10:0.4000 -9:0.4000 -8:0.2000 -6:0.2000 -5:0.2000 -4:0.2000 -3:0.4000 -1:0.2000 0:0.2000 1:0.4000 3:0.2000 5:0.2000 6:0.2000 7:0.2000 8:0.2000 9:0.2000 11:0.2000 12:0.4000 13:0.2000 14:0.2000 17:0.2000 20:0.4000 21:0.4000 22:0.6000 26:0.2000 27:0.2000 28:0.2000 30:0.2000 31:0.2000 33:0.2000 35:0.2000 46:0.2000 50:0.2000
68	9.800000	-57:0.2000 -52:0.2000 -50:0.2000 -42:0.2000 -41:0.2000 -37:0.2000 -36:0.2000 -35:0.4000 -34:0.2000 -33:0.2000 -31:0.2000 -30:0.2000 -29:0.2000 -28:0.2000 -27:0.2000 -25:0.2000 -24:0.4000 -23:0.2000 -21:0.4000 -19:0.2000 -18:0.2000 -16:0.2000 -12:0.2000 -10:0.2000 -7:0.2000 -6:0.2000 -4:0.2000 -3:0.4000 0:0.2000 1:0.4000 3:0.4000 4:0.2000 5:0.2000 7:0.2000 8:0.4000 11:0.4000 13:0.2000 14:0.2000 21:0.2000 22:0.2000 26:0.2000
69	16.800000	-37:0.2000 -35:0.2000 -34:0.2000 -33:0.2000 -31:0.4000 -30:0.4000 -29:0.2000 -27:0.8000 -26:0.2000 -25:0.2000 -24:0.4000 -21:0.2000 -19:0.2000 -18:0.4000 -17:0.6000 -16:0.4000 -15:0.2000 -14:0.4000 -13:0.4000 -11:0.2000 -10:0.8000 -9:0.2000 -8:0.2000 -6:0.4000 -5:0.2000 -4:0.2000 -3:0.6000 -2:0.2000 0:0.4000 1:0.4000 2:0.2000 4:0.4000 5:0.4000 7:0.8000 8:0.6000 9:0.2000 10:0.2000 11:0.2000 12:0.2000 16:0.2000 20:0.2000 21:0.4000 26:0.2000 27:0.4000 28:0.2000 30:0.4000 35:0.4000 36:0.2000 43:0.2000 45:0.2000 46:0.2000 48:0.2000 50:0.2000
70	13.600000	-46:0.2000 -45:0.2000 -41:0.4000 -39:0.2000 -35:0.2000 -33:0.2000 -32:0.2000 -30:0.4000 -29:0.2000 -28:0.2000 -27:0.6000 -26:0.2000 -25:0.2000 -24:0.4000 -22:0.2000 -18:0.4000 -15:0.2000 -13:0.2000 -11:0.2000 -9:0.2000 -7:0.4000 -6:0.2000 -5:0.4000 -4:0.4000 -3:0.4000 3:0.2000 4:0.4000 5:0.4000 7:0.2000 8:0.4000 9:0.2000 10:0.2000 11:0.2000 12:0.2000 14:0.2000 15:0.2000 16:0.2000 17:0.4000 19:0.2000 20:0.2000 21:0.4000 23:0.2000 24:0.4000 26:0.2000 27:0.4000 28:0.4000 30:0.2000 34:0.4000 35:0.2000
71	11.400000	-39:0.2000 -37:0.2000 -35:0.2000 -34:0.2000 -32:0.2000 -29:0.4000 -27:0.2000 -26:0.2000 -24:0.2000 -19:0.2000 -18:0.2000 -17:0.2000 -16:0.2000 -15:0.2000 -9:0.2000 -7:0.2000 -6:0.4000 -5:0.4000 -4:0.2000 -3:0.2000 -1:0.2000 2:0.2000 3:0.2000 7:0.2000 9:0.2000 10:0.2000 11:0.2000 13:0.4000 15:0.2000 18:0.2000 19:0.2000 20:0.4000 21:0.4000 22:0.2000 23:0.2000 24:0.6000 25:0.2000 26:0.4000 27:0.4000 28:0.4000 29:0.2000 30:0.2000 32:0.2000 34:0.2000 35:0.2000 42:0.2000
72	13.400000	-54:0.2000 -49:0.2000 -47:0.2000 -45:0.2000 -39:0.2000 -37:0.2000 -35:0.2000 -34:0.2000 -33:0.2000 -32:0.4000 -29:0.2000 -28:0.2000 -27:0.4000 -26:0.2000 -24:0.2000 -19:0.4000 -18:0.2000 -17:0.2000 -16:0.4000 -14:0.2000 -10:0.2000 -9:0.2000 -8:0.2000 -6:0.2000 -5:0.4000 -4:0.2000 -3:0.4000 2:0.4000 3:0.2000 7:0.2000 9:0.2000 10:0.6000 11:0.2000 13:0.4000 15:0.2000 16:0.2000 18:0.2000 19:0.2000 20:0.2000 21:0.2000 22:0.2000 23:0.2000 24:0.6000 25:0.2000 26:0.4000 27:0.4000 28:0.4000 29:0.2000 30:0.2000 32:0.2000 34:0.2000 35:0.2000
73	18.400000	-47:0.2000 -46:0.2000 -42:0.2000 -39:0.4000 -35:0.4000 -32:0.4000 -30:0.2000 -28:0.2000 -24:0.2000 -21:0.2000 -18:0.2000 -16:0.2000 -15:0.2000 -13:0.2000 -12:0.2000 -11:0.4000 -9:0.6000 -8:0.6000 -6:0.4000 -5:0.4000 -3:0.6000 -2:0.2000 -1:0.6000 0:0.2000 2:0.4000 3:0.4000 5:0.2000 6:0.4000 7:0.4000 8:0.2000 9:0.6000 10:0.4000 11:0.2000 12:0.4000 13:0.2000 15:0.2000 17:0.6000 18:0.2000 19:0.4000 20:0.4000 21:0.4000 22:0.4000 23:0.2000 27:0.4000 28:0.6000 29:0.4000 30:0.4000 32:0.2000 33:0.2000 34:0.4000 35:0.4000 37:0.2000 38:0.2000 40:0.2000 45:0.2000 50:0.2000 52:0.2000
74	17.600000	-47:0.2000 -46:0.2000 -43:0.2000 -42:0.2000 -39:0.2000 -37:0.4000 -35:0.4000 -34:0.2000 -33:0.2000 -32:0.4000 -31:0.2000 -30:0.2000 -29:0.2000 -28:0.4000 -27:0.8000 -26:0.2000 -25:0.2000 -24:0.6000 -21:0.2000 -20:0.2000 -19:0.2000 -18:0.4000 -17:0.2000 -16:0.2000 -15:0.2000 -14:0.2000 -13:0.6000 -11:0.6000 -10:0.4000 -9:0.2000 -8:0.4000 -6:0.2000 -5:0.2000 -3:0.4000 -2:0.4000 -1:0.2000 0:0.6000 1:0.4000 2:0.4000 3:0.4000 4:0.2000 5:0.4000 6:0.2000 7:0.6000 8:0.2000 9:0.2000 10:0.2000 11:0.2000 12:0.4000 13:0.4000 14:0.2000 17:0.4000 19:0.2000 20:0.2000 26:0.2000 31:0.2000 43:0.2000 45:0.2000 48:0.2000
75	10.600000	-47:0.2000 -43:0.2000 -42:0.2000 -39:0.2000 -37:0.2000 -35:0.2000 -29:0.2000 -28:0.4000 -27:0.2000 -25:0.4000 -24:0.2000 -21:0.2000 -20:0.2000 -17:0.2000 -15:0.4000 -14:0.2000 -13:0.4000 -11:0.2000 -9:0.2000 -8:0.4000 -5:0.4000 -3:0.2000 3:0.2000 5:0.2000 7:0.2000 10:0.2000 12:0.2000 13:0.2000 18:0.2000 19:0.2000 20:0.2000 21:0.4000 22:0.2000 24:0.2000 25:0.2000 26:0.4000 27:0.2000 28:0.2000 30:0.2000 31:0.2000 35:0.2000 42:0.2000 43:0.2000 45:0.2000 48:0.2000
76	14.400000	-47:0.2000 -43:0.2000 -42:0.2000 -39:0.2000 -37:0.2000 -35:0.2000 -33:0.2000 -31:0.2000 -29:0.6000 -28:0.4000 -27:0.2000 -26:0.2000 -25:0.4000 -24:0.2000 -21:0.4000 -17:0.2000 -16:0.2000 -14:0.2000 -13:0.4000 -11:0.2000 -10:0.4000 -8:0.4000 -7:0.2000 -5:0.2000 -4:0.4000 -3:0.2000 -1:0.2000 0:0.2000 1:0.4000 3:0.4000 4:0.4000 5:0.2000 7:0.2000 8:0.2000 13:0.2000 15:0.2000 16:0.2000 18:0.4000 20:0.4000 21:0.6000 22:0.2000 24:0.2000 25:0.2000 26:0.2000 27:0.4000 28:0.2000 30:0.4000 32:0.2000 35:0.4000 36:0.2000 42:0.2000 46:0.2000 50:0.2000
